c_gender,n,mu_eff,mu_sd,var_pre_eff,var_pre_sd,var_post_delta,var_post_sd,mu_eff_centered,mu_eff_ratio_p90
0,533,-16.196503,0.38557315,10.732856,0.30115983,10.732855834388374,0.30115982251701817,0.02535057,0.03283374
1,467,-16.250788,0.3853716,10.775254,0.30100238,10.775254439490766,0.3010023923133132,-0.028934479,-0.037475575
