region,n,mu_eff,mu_sd,var_pre_eff,var_pre_sd,var_post_delta,var_post_sd,mu_eff_centered,mu_eff_ratio_p90
1,123,-1.4327707,0.017793288,1.6376779,0.0049965275,1.6376778992210947,0.004996527418018298,0.054113984,0.067537196
2,877,-1.4944742,0.2312734,1.6872758,0.25049415,1.6872757764335642,0.25049414067837483,-0.0075894594,-0.009472058
