m_work,n,mu_eff,mu_sd,var_pre_eff,var_pre_sd,var_post_delta,var_post_sd,mu_eff_centered,mu_eff_ratio_p90
0,466,-13.563307,0.5528667,10.296864,0.32794413,10.29686326121056,0.32794414244654885,0.023724556,0.021459213
1,534,-13.607735,0.55291265,10.323216,0.3279714,10.323216656174106,0.32797138800831266,-0.020703316,-0.018726457
